ORIGIN,DEST,PASSENGERS,FARE,DISTANCE,COUPONS,YEAR,QUARTER
ABQ,ATL,8498,330.70649727325264,1727,2,2024,3
ABQ,AUS,3278,248.59921458348026,2095,2,2024,3
ABQ,BNA,43105,167.45280640545195,1531,1,2024,3
ABQ,BOI,12755,485.7879206194096,2547,2,2024,3
ABQ,BOS,2013,271.886091536751,1985,2,2024,3
ABQ,BUR,2006,410.61075817690534,2856,2,2024,3
ABQ,CLE,883,207.69572449613912,1437,2,2024,3
ABQ,CLT,6463,273.02907516259836,1720,1,2024,3
ABQ,CMH,4464,258.31192138592303,1417,2,2024,3
ABQ,CVG,476,256.4209575848728,1385,2,2024,3
ABQ,DCA,1638,319.5305056570832,1718,2,2024,3
ABQ,DEN,2604,232.17431151889454,2009,2,2024,3
ABQ,DFW,13855,266.5448013782904,1923,2,2024,3
ABQ,DTW,646,241.94096849752194,1356,2,2024,3
ABQ,EWR,12213,208.7310156445278,1840,2,2024,3
ABQ,FLL,5216,240.70201150575159,2308,2,2024,3
ABQ,IAD,439,347.8350498684579,1710,2,2024,3
ABQ,IAH,1370,273.2814130422518,2046,2,2024,3
ABQ,IND,6559,156.39478921663294,1299,1,2024,3
ABQ,JAX,2264,389.593154875891,2047,2,2024,3
ABQ,LAS,18941,482.29136076511463,2635,2,2024,3
ABQ,LAX,16309,388.7094558305279,2866,2,2024,3
ABQ,MCI,6630,224.66362562214792,1524,2,2024,3
ABQ,MCO,17429,289.4935408015063,2126,2,2024,3
ABQ,MKE,13648,273.8337624944205,1202,2,2024,3
ABQ,MSP,30851,178.70869411019405,1455,1,2024,3
ABQ,MSY,6937,374.59579468277883,1954,2,2024,3
ABQ,OAK,40523,453.3574386757085,2962,2,2024,3
ABQ,OMA,4596,223.06609296282718,1537,2,2024,3
ABQ,ONT,2576,555.5903185932846,2830,2,2024,3
ABQ,PDX,37027,347.21075093704474,2860,2,2024,3
ABQ,PHX,1854,332.95119132411804,2561,2,2024,3
ABQ,PIT,15925,313.8713902502888,1531,2,2024,3
ABQ,RDU,6605,370.02787097988585,1764,2,2024,3
ABQ,RNO,1407,324.0688211987234,2644,2,2024,3
ABQ,RSW,2467,434.0618977462725,2254,1,2024,3
ABQ,SAN,4065,404.55566184964334,2844,2,2024,3
ABQ,SAT,2837,246.37641848945185,2163,2,2024,3
ABQ,SEA,3167,436.0223077812206,2842,1,2024,3
ABQ,SFO,7395,402.34653100007074,2967,1,2024,3
ABQ,SJC,226,374.8604477827975,2950,2,2024,3
ABQ,SLC,3876,397.150650626302,2370,2,2024,3
ABQ,SMF,3023,326.10526598193604,2914,2,2024,3
ABQ,STL,6341,320.74636788140174,1379,2,2024,3
ABQ,TPA,22400,272.23125316370846,2132,1,2024,3
ABQ,TUS,12462,346.54759099249833,2488,2,2024,3
