UNIQUE_CARRIER,ORIGIN,DEST,DEPARTURES_PERFORMED,SEATS,PASSENGERS,AIRCRAFT_TYPE,DISTANCE,YEAR,QUARTER
UA,LAX,ORD,2520,378000,305778,738,1745,2024,3
UA,ORD,LAX,2850,427500,402637,738,1745,2024,3
UA,SFO,ORD,1380,207000,165862,738,1846,2024,3
UA,ORD,SFO,5910,886500,781356,738,1846,2024,3
UA,DEN,ORD,1410,211500,182610,738,888,2024,3
UA,ORD,DEN,1440,216000,169072,738,888,2024,3
UA,IAH,ORD,2490,373500,249101,738,925,2024,3
UA,ORD,IAH,510,76500,59288,738,925,2024,3
UA,EWR,ORD,990,148500,125503,738,719,2024,3
UA,ORD,EWR,1050,157500,111354,738,719,2024,3
UA,SAN,ORD,5520,828000,664004,738,1723,2024,3
UA,ORD,SAN,1800,270000,190625,738,1723,2024,3
UA,PHX,ORD,1140,171000,141737,738,1440,2024,3
UA,ORD,PHX,690,103500,87980,738,1440,2024,3
UA,SEA,ORD,1050,157500,125474,738,1721,2024,3
UA,ORD,SEA,1050,157500,149625,738,1721,2024,3
UA,LAS,ORD,1740,261000,191934,738,1514,2024,3
UA,ORD,LAS,3420,513000,370556,738,1514,2024,3
UA,MCO,ORD,2370,355500,235776,738,1005,2024,3
UA,ORD,MCO,690,103500,86500,738,1005,2024,3
UA,FLL,ORD,3450,517500,431444,738,1187,2024,3
UA,ORD,FLL,1740,261000,207732,738,1187,2024,3
UA,BOS,ORD,630,94500,72047,738,864,2024,3
UA,ORD,BOS,1440,216000,195387,738,864,2024,3
UA,DCA,ORD,3090,463500,314696,738,597,2024,3
UA,ORD,DCA,3030,454500,358688,738,597,2024,3
UA,CLT,ORD,1350,202500,175959,738,599,2024,3
UA,ORD,CLT,5340,801000,716496,738,599,2024,3
UA,ATL,ORD,1170,175500,139568,738,606,2024,3
UA,ORD,ATL,3030,454500,408160,738,606,2024,3
UA,DFW,ORD,1440,216000,173911,738,802,2024,3
UA,ORD,DFW,870,130500,94521,738,802,2024,3
UA,IAD,ORD,4500,675000,626736,738,589,2024,3
UA,ORD,IAD,2220,333000,299794,738,589,2024,3
UA,MSP,ORD,3720,558000,428761,738,334,2024,3
UA,ORD,MSP,3720,558000,526217,738,334,2024,3
UA,DTW,ORD,3000,450000,425327,738,235,2024,3
UA,ORD,DTW,360,54000,47830,738,235,2024,3
UA,PDX,ORD,1830,274500,218523,738,1739,2024,3
UA,ORD,PDX,1830,274500,181442,738,1739,2024,3
UA,SLC,ORD,1560,234000,198565,738,1249,2024,3
UA,ORD,SLC,6150,922500,718201,738,1249,2024,3
UA,RDU,ORD,1200,180000,140374,738,643,2024,3
UA,ORD,RDU,4770,715500,605527,738,643,2024,3
UA,AUS,ORD,1320,198000,170490,738,974,2024,3
