C,N,R,col_err,eta,family,hyb_cost,hyb_gap_pct,m,max_cell_dev,mode,n,opt_cost,opt_time,relax_time,round_time,rounder,row_err,tau,topk,trial
80,50000,80,0,,population2d,,,,0.6943800000000002,,,,,8.606910705566406e-05,0.14974212646484375,lp-sparse,0,,,1
80,50000,80,0,,population2d,,,,0.779999999999998,,,,,6.604194641113281e-05,0.15365219116210938,lp-sparse,0,,,2
80,50000,80,0,,population2d,,,,0.7563799999999994,,,,,7.200241088867188e-05,0.1370081901550293,lp-sparse,0,,,3
120,120000,120,0,,population2d,,,,0.7025500000000005,,,,,0.00012874603271484375,0.5491960048675537,lp-sparse,0,,,1
120,120000,120,0,,population2d,,,,0.7924750000000014,,,,,7.963180541992188e-05,0.5319135189056396,lp-sparse,0,,,2
120,120000,120,0,,population2d,,,,0.8037333333333339,,,,,0.0002129077911376953,0.5183629989624023,lp-sparse,0,,,3
160,200000,160,0,,population2d,,,,0.7597500000000004,,,,,0.00014734268188476562,1.3996872901916504,lp-sparse,0,,,1
160,200000,160,0,,population2d,,,,0.9107200000000002,,,,,0.00010061264038085938,1.2500848770141602,lp-sparse,0,,,2
160,200000,160,0,,population2d,,,,0.7862149999999994,,,,,0.00010919570922851562,1.3124902248382568,lp-sparse,0,,,3
,10000,,,0.0,transport,259.02994928222,0.0,100,,exact,100,259.02994928222,0.04284167289733887,0.0013599395751953125,0.04235219955444336,,,0.05,30,1
,10000,,,0.0,transport,343.2488489752302,0.0,100,,exact,100,343.2488489752302,0.04368162155151367,0.001283407211303711,0.04588174819946289,,,0.05,30,2
,10000,,,0.0,transport,276.7870998462732,0.0,100,,exact,100,276.7870998462732,0.0438382625579834,0.0009517669677734375,0.0434572696685791,,,0.05,30,3
,20000,,,0.0,transport,322.5638173265669,0.0,200,,exact,200,322.5638173265669,0.2624034881591797,0.0027611255645751953,0.26139330863952637,,,0.05,30,1
,20000,,,0.0,transport,334.1632864235115,0.0,200,,exact,200,334.1632864235115,0.28822875022888184,0.002476930618286133,0.2574465274810791,,,0.05,30,2
,20000,,,0.0,transport,325.74961635349564,0.0,200,,exact,200,325.74961635349564,0.25759315490722656,0.002051115036010742,0.25441479682922363,,,0.05,30,3
,30000,,,0.0,transport,327.841265930015,0.0,300,,exact,300,327.841265930015,0.7930657863616943,0.0030851364135742188,0.8350789546966553,,,0.05,30,1
,30000,,,0.0,transport,329.67817776812154,0.0,300,,exact,300,329.67817776812154,0.889946699142456,0.0030355453491210938,0.8720099925994873,,,0.05,30,2
,30000,,,0.0,transport,373.6942299594232,0.0,300,,exact,300,373.6942299594232,0.9220066070556641,0.0031778812408447266,0.8732695579528809,,,0.05,30,3
