family,dataset,n,m,k,seed,controller,hyb_int,mip_obj,gap_pct,hyb_total,polish_time,mip_time,relax_obj,round_obj,polish_obj,relax_time,round_main,round_rr,improve,feasible,anytime_t_0,anytime_obj_0,anytime_method_0,anytime_t_1,anytime_obj_1,anytime_method_1,anytime_t_2,anytime_obj_2,anytime_method_2,anytime_t_3,anytime_obj_3,anytime_method_3,anytime_summary,trial
RAIL582,rail582,582,55515,1,11,both,213.0,211.0,0.9478672985781991,34.07373649999499,0.9488945007324219,32.67644762992859,427.046002956652,513.0,213.0,0.012414693832397461,0.0,0.008603000002040062,0.003034800000023097,1,0.012414693832397461,nan,relaxation,0.021017693834437523,513.0,randomized_rounding,0.02405249383446062,336.0,local_improvement,0.9729469945668825,213.0,polish,randomized_rounding:513@0.021s|local_improvement:336@0.024s|polish:213@0.973s,0
RAIL582,rail582,582,55515,1,12,both,244.0,211.0,15.639810426540285,43.27800019999995,0.915457010269165,41.77487254142761,427.046002956652,515.0,244.0,0.029093265533447266,0.0,0.02606539999396773,0.013959099997009616,1,0.029093265533447266,nan,relaxation,0.055158665527414996,515.0,randomized_rounding,0.06911776552442461,333.0,local_improvement,0.9845747757935897,244.0,polish,randomized_rounding:515@0.055s|local_improvement:333@0.069s|polish:244@0.985s,1
RAIL582,rail582,582,55515,1,13,both,213.0,211.0,0.9478672985781991,36.93297719999828,0.9652163982391357,35.27133846282959,427.046002956652,503.0,213.0,0.0246126651763916,0.0,0.017869299997983035,0.009329399996204302,1,0.0246126651763916,nan,relaxation,0.042481965174374636,503.0,randomized_rounding,0.05181136517057894,325.0,local_improvement,1.0170277634097147,213.0,polish,randomized_rounding:503@0.042s|local_improvement:325@0.052s|polish:213@1.017s,2
RAIL582,rail582,582,55515,1,14,both,213.0,211.0,0.9478672985781991,36.55136649999622,0.9768803119659424,34.95765662193298,427.046002956652,501.0,213.0,0.022116661071777344,0.0,0.013845600005879533,0.0036527000047499314,1,0.022116661071777344,nan,relaxation,0.035962261077656876,501.0,randomized_rounding,0.03961496108240681,333.0,local_improvement,1.0164952730483492,213.0,polish,randomized_rounding:501@0.036s|local_improvement:333@0.040s|polish:213@1.016s,3
RAIL582,rail582,582,55515,1,15,both,213.0,211.0,0.9478672985781991,86.74095010000019,1.0386953353881836,43.13245701789856,427.046002956652,363.0,213.0,0.012845993041992188,41.93282120000367,0.012998100006370805,0.005840999998326879,1,0.012845993041992188,nan,relaxation,41.958665293052036,363.0,main_rounding,41.96450629305036,332.0,local_improvement,43.003201628438546,213.0,polish,main_rounding:363@41.959s|local_improvement:332@41.965s|polish:213@43.003s,4
RAIL582,rail582,582,55515,1,16,both,213.0,211.0,0.9478672985781991,46.88182070000039,1.0287072658538818,45.32886052131653,427.046002956652,524.0,213.0,0.012054443359375,0.0,0.01104710000072373,0.0031005000055301934,1,0.012054443359375,nan,relaxation,0.02310154336009873,524.0,randomized_rounding,0.026202043365628924,332.0,local_improvement,1.0549093092195108,213.0,polish,randomized_rounding:524@0.023s|local_improvement:332@0.026s|polish:213@1.055s,5
RAIL582,rail582,582,55515,1,17,both,221.0,211.0,4.739336492890995,33.250178700000106,0.9424631595611572,31.782553672790527,427.046002956652,498.0,221.0,0.012241125106811523,0.0,0.008696800003235694,0.002873800003726501,1,0.012241125106811523,nan,relaxation,0.020937925110047217,498.0,randomized_rounding,0.02381172511377372,342.0,local_improvement,0.966274884674931,221.0,polish,randomized_rounding:498@0.021s|local_improvement:342@0.024s|polish:221@0.966s,6
RAIL582,rail582,582,55515,1,18,both,213.0,211.0,0.9478672985781991,34.29129660000035,0.9680113792419434,32.77466154098511,427.046002956652,542.0,213.0,0.013041973114013672,0.0,0.008050699994782917,0.0030918000047677197,1,0.013041973114013672,nan,relaxation,0.02109267310879659,542.0,randomized_rounding,0.02418447311356431,341.0,local_improvement,0.9921958523555077,213.0,polish,randomized_rounding:542@0.021s|local_improvement:341@0.024s|polish:213@0.992s,7
RAIL582,rail582,582,55515,1,19,both,213.0,211.0,0.9478672985781991,81.38562080000702,0.9734869003295898,30.789154529571533,427.046002956652,363.0,213.0,0.013135910034179688,49.15454649999447,0.013019500001973938,0.0024994999985210598,1,0.013135910034179688,nan,relaxation,49.18070191003062,363.0,main_rounding,49.18320141002914,332.0,local_improvement,50.15668831035873,213.0,polish,main_rounding:363@49.181s|local_improvement:332@49.183s|polish:213@50.157s,8
RAIL582,rail582,582,55515,1,20,both,213.0,211.0,0.9478672985781991,40.18478660000255,0.9463033676147461,38.78505063056946,427.046002956652,516.0,213.0,0.012838363647460938,0.0,0.01254470000276342,0.00351550000050338,1,0.012838363647460938,nan,relaxation,0.025383063650224358,516.0,randomized_rounding,0.028898563650727738,340.0,local_improvement,0.9752019312654738,213.0,polish,randomized_rounding:516@0.025s|local_improvement:340@0.029s|polish:213@0.975s,9
