anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,polish,nan,513.0,329.0,213.0,randomized_rounding:513@0.023s|local_improvement:329@0.026s|polish:213@1.009s,0.01280069351196289,0.022728693555109203,0.02594739355845377,1.0093081609229557,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.567911199992523,0.0032187000033445656,1,55515,211.0,28.406797170639038,582,213.0,0.983360767364502,427.046002956652,0.01280069351196289,0.0,513.0,0.009928000043146312,1221,0
relaxation,randomized_rounding,local_improvement,polish,nan,529.0,341.0,213.0,randomized_rounding:529@0.021s|local_improvement:341@0.023s|polish:213@0.999s,0.012723445892333984,0.020522945909760892,0.02349084592424333,0.9988340733107179,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.61640440003248,0.0029679000144824386,1,55515,211.0,29.14574933052063,582,213.0,0.9753432273864746,427.046002956652,0.012723445892333984,0.0,529.0,0.007799500017426908,1222,1
relaxation,randomized_rounding,local_improvement,polish,nan,504.0,332.0,213.0,randomized_rounding:504@0.021s|local_improvement:332@0.028s|polish:213@0.922s,0.012774229049682617,0.02103512908797711,0.027503629098646343,0.9218620256287977,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.388700099952985,0.006468500010669231,1,55515,211.0,29.083006620407104,582,213.0,0.8943583965301514,427.046002956652,0.012774229049682617,0.0,504.0,0.008260900038294494,1223,2
relaxation,randomized_rounding,local_improvement,polish,nan,498.0,326.0,213.0,randomized_rounding:498@0.024s|local_improvement:326@0.027s|polish:213@0.989s,0.01304006576538086,0.02415956580080092,0.027191565837711096,0.9890228970907629,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.827889399952255,0.0030320000369101763,1,55515,211.0,29.409175872802734,582,213.0,0.9618313312530518,427.046002956652,0.01304006576538086,0.0,498.0,0.01111950003542006,1224,3
relaxation,randomized_rounding,local_improvement,polish,nan,506.0,321.0,213.0,randomized_rounding:506@0.022s|local_improvement:321@0.025s|polish:213@1.051s,0.013139724731445312,0.022223324747756124,0.025332824734505266,1.0505734844482504,both,rail582,RAIL582,1,0.4716981132075472,213.0,31.134365100006107,0.0031094999867491424,1,55515,212.0,29.696524381637573,582,213.0,1.0252406597137451,427.046002956652,0.013139724731445312,0.0,506.0,0.009083600016310811,1225,4
relaxation,main_rounding,local_improvement,polish,nan,363.0,332.0,213.0,main_rounding:363@94.040s|local_improvement:332@94.042s|polish:213@95.019s,0.014074563980102539,94.03979836392682,94.04179076396395,95.01897625171114,both,rail582,RAIL582,1,0.9478672985781991,213.0,124.68622299999697,0.001992400037124753,1,55515,211.0,29.2734375,582,213.0,0.9771854877471924,427.046002956652,0.014074563980102539,94.01236419996712,363.0,0.01335959997959435,1226,5
relaxation,randomized_rounding,local_improvement,polish,nan,515.0,335.0,213.0,randomized_rounding:515@0.022s|local_improvement:335@0.025s|polish:213@0.983s,0.012390613555908203,0.0217623136122711,0.02472421358106658,0.9826664609718136,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.984947799996007,0.0029618999687954783,1,55515,211.0,29.59636688232422,582,213.0,0.9579422473907471,427.046002956652,0.012390613555908203,0.0,515.0,0.009371700056362897,1227,6
relaxation,randomized_rounding,local_improvement,polish,nan,510.0,339.0,213.0,randomized_rounding:510@0.025s|local_improvement:339@0.028s|polish:213@0.981s,0.01256871223449707,0.02502171223750338,0.028171012236271054,0.9809777234331705,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.50185290002264,0.003149299998767674,1,55515,211.0,29.139604091644287,582,213.0,0.9528067111968994,427.046002956652,0.01256871223449707,0.0,510.0,0.01245300000300631,1228,7
relaxation,randomized_rounding,local_improvement,polish,nan,487.0,334.0,213.0,randomized_rounding:487@0.022s|local_improvement:334@0.025s|polish:213@1.016s,0.012190818786621094,0.022366318793501705,0.02522681880509481,1.0159566276124679,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.529240000003483,0.0028605000115931034,1,55515,211.0,29.085607767105103,582,213.0,0.990729808807373,427.046002956652,0.012190818786621094,0.0,487.0,0.010175500006880611,1229,8
relaxation,randomized_rounding,local_improvement,polish,nan,503.0,342.0,213.0,randomized_rounding:503@0.020s|local_improvement:342@0.023s|polish:213@0.977s,0.012481689453125,0.01988358946982771,0.022802189458161592,0.9770592008717358,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.22497919999296,0.002918599988333881,1,55515,211.0,28.859954357147217,582,213.0,0.9542570114135742,427.046002956652,0.012481689453125,0.0,503.0,0.007401900016702712,1230,9
relaxation,randomized_rounding,local_improvement,polish,nan,508.0,340.0,232.0,randomized_rounding:508@0.022s|local_improvement:340@0.025s|polish:232@0.921s,0.013024568557739258,0.021804768533911556,0.02502366853877902,0.9207381899468601,both,rail582,RAIL582,1,9.95260663507109,232.0,30.428858199971728,0.0032189000048674643,1,55515,211.0,29.08033275604248,582,232.0,0.895714521408081,427.046002956652,0.013024568557739258,0.0,508.0,0.008780199976172298,1231,10
relaxation,randomized_rounding,local_improvement,polish,nan,490.0,335.0,213.0,randomized_rounding:490@0.024s|local_improvement:335@0.030s|polish:213@0.991s,0.012437105178833008,0.023776005196850747,0.02980410523014143,0.9910539335687645,both,rail582,RAIL582,1,0.9478672985781991,213.0,30.60807689995272,0.006028100033290684,1,55515,211.0,29.13302445411682,582,213.0,0.961249828338623,427.046002956652,0.012437105178833008,0.0,490.0,0.011338900018017739,1232,11
